customerid,name,email,accountnumber,balance,transactiondate,transactionamount,transactiontype,balanceaftertransaction
3082,Andrew Hammond,parkervictoria@robinson.com,RQWC60819215793799,69601.81,2025-01-29,131.58,Debit,69470.23
8966,Matthew Walters,kelseyjames@clayton.com,ABBM71628226688311,13096.39,2025-04-07,-392.89,Credit,12703.5
1752,George Underwood,zhumphrey@yahoo.com,BXXC92288574184744,20104.69,2025-01-24,-308.97,Credit,19795.719999999998
8738,David Caldwell,jsmith@mcfarland-chang.com,ZABF90546916037818,74262.01,2025-05-04,2128.63,Debit,72133.37999999999
6892,Melanie Williams,anthonyjohnson@yahoo.com,FSKM96847294191579,95892.06,2025-02-15,4957.85,Debit,90934.20999999999
4985,Tiffany Le,stephenmurphy@travis.org,QGRC84916695416708,48641.38,2025-05-07,177.25,Credit,48818.63
7574,Jennifer Rich,julie22@johnson.com,FUVS16752009550676,42787.1,2025-06-28,1355.93,Credit,44143.03
8890,Ashley Cohen,cookaaron@yahoo.com,LYJI39256761844059,62795.89,2025-01-26,2909.01,Credit,65704.9
8946,Stephen Soto,chelsea38@gmail.com,DWEF76489183430800,22687.89,2025-04-02,4896.31,Debit,17791.579999999998
4501,Dr. Michael Love,garycline@sullivan.info,MJYU07750439209615,21860.33,2025-04-26,1761.3,Debit,20099.030000000002
3393,Troy Johnson,joeldixon@odonnell.com,ZMWT63745274148990,62461.13,2025-05-29,-122.38,Debit,62583.509999999995
5059,Ashley Dawson,robertsmith@hotmail.com,ADFK30449198696236,91095.18,2025-05-13,2680.02,Credit,93775.2
6386,James Yu,johnwheeler@martin-day.com,UBFJ70526061253507,37317.83,2025-02-28,3145.29,Credit,40463.12
8684,Anthony Hopkins,charlesbuck@hotmail.com,GEEF12775699142980,55092.35,2025-03-08,-759.39,Debit,55851.74
2532,William Patel,garciafrank@francis.com,DWPW08985723519814,11244.41,2025-03-08,4347.55,Credit,15591.96
2511,Michael Green,jbaker@bell.com,WNEE68739022307309,65331.61,2025-03-27,-933.9,Debit,66265.51
2337,Paul Jimenez,kathryn23@hotmail.com,YZNN33266172644154,29079.1,2025-02-02,2329.56,Credit,31408.66
7951,Gabrielle Valencia,david07@castillo-scott.com,ZITW11494055640565,49030.91,2025-03-22,1964.57,Debit,47066.340000000004
